molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50
CHEMBL545544,CCc1cccc(N(C)C(=N)Nc2cc(C)cc(CC)c2Cl)c1.Cl,45.3,4.53e-08,7.343901797987168
CHEMBL373271,O=C1[C@@H]2Cc3ccc(O)cc3CN2C(=O)N1CCN1CCCCC1,1000.0,1.0000000000000002e-06,6.0
CHEMBL289702,CC1CCN(CCCCCCOc2ccc3oc(-c4ccccc4)cc(=O)c3c2)CC1,25.0,2.5e-08,7.602059991327962
CHEMBL552829,CCc1cccc(NC(=N)Nc2cc(CC)cc(CC)c2F)c1.Cl,7.4,7.400000000000001e-09,8.130768280269024
CHEMBL544747,Cl.O=[N+]([O-])c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,8.71,8.710000000000002e-09,8.059981844992336
CHEMBL78585,Cc1ccccc1/N=C(/N)Nc1ccccc1N,463.0,4.63e-07,6.334419008982047
CHEMBL432859,O=c1cc(-c2ccccc2)oc2ccc(OCCCCCCN3CCCCCC3)cc12,24.0,2.4000000000000003e-08,7.619788758288394
CHEMBL607390,CN(C(=O)Cc1ccc(Cl)cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,224.0,2.2400000000000002e-07,6.649751981665837
CHEMBL553962,CCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC.Cl,1.5,1.5e-09,8.823908740944319
CHEMBL596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,354.0,3.54e-07,6.450996737974212
CHEMBL543355,Cl.N=C(Nc1ccccc1CCc1ccccc1)NC12CC3CC(CC(C3)C1)C2,112.0,1.1200000000000001e-07,6.950781977329818
CHEMBL367435,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3OC)CC1)=CCC2,228.0,2.28e-07,6.642065152999546
CHEMBL310729,COc1ccccc1NC(=N)Nc1ccccc1OC,1990.0,1.99e-06,5.701146923590294
CHEMBL440606,Cc1c(-c2ccccc2)oc2ccc(OCCC/C=C/CN3CCC(O)CC3)cc2c1=O,99.0,9.9e-08,7.00436480540245
CHEMBL564,CN(C)CCCN1c2ccccc2Sc2ccccc21,271.0,2.710000000000001e-07,6.567030709125595
CHEMBL117748,CN(CCN1C2CCC1c1c([nH]c3ccccc13)C2)C(=O)Cc1ccc(Cl)c(Cl)c1,1612.0,1.6120000000000002e-06,5.792634962530928
CHEMBL128998,CCCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,1000.0,1.0000000000000002e-06,6.0
CHEMBL1743999,Cl.c1ccc2c(c1)CCC21CCN(CC2CCCCC2)CC1,1.349,1.349e-09,8.869988050328097
CHEMBL138438,CC1CN(CCCn2c3ccccc3c3ccccc32)CC(C)N1CCCCCCN=C=S,707.0,7.070000000000001e-07,6.150580586203101
CHEMBL67010,C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,72.0,7.200000000000001e-08,7.142667503568731
CHEMBL543597,Cl.N=C(NC1CCCCC1)NC12CC3CC(CC(C3)C1)C2,13.0,1.3e-08,7.886056647693163
CHEMBL39233,COc1cccc(-c2cc(=O)c3cc(OCCCCCCN4CCC(O)CC4)ccc3o2)c1,76.0,7.6e-08,7.119186407719209
CHEMBL338181,O=C(CCN1CC=C(c2ccc(F)cc2)CC1)c1ccccc1,4.0,4e-09,8.397940008672037
CHEMBL88660,CCc1cccc(NC(=N)N2CCC(c3ccccc3)CC2)c1,60.0,6.000000000000002e-08,7.221848749616356
CHEMBL3220543,CSc1nc(N2C[C@@H]3[C@H](C2)[C@H]3C(=O)O)ccc1C(=O)NC12CC3CC(CC(C3)C1)C2,30000.0,3e-05,4.522878745280337
CHEMBL90508,N=C(Nc1ccccc1I)Nc1cccc2ccccc12,40.0,4e-08,7.397940008672037
CHEMBL421364,CN(C(=N)Nc1cccc2ccccc12)c1cccc([N+](=O)[O-])c1,6260.0,6.26e-06,5.20342566678957
CHEMBL553312,CCc1cccc(NC(=N)Nc2cc(Cl)ccc2Cl)c1.Cl,11.8,1.18e-08,7.928117992693875
CHEMBL64511,c1ccc(CN2CCC3(CCCc4ccccc43)CC2)nc1,11.22,1.122e-08,7.950007143079858
CHEMBL323287,CCN(CC)C1Cc2ccccc2C(c2ccccc2)C1,2.239,2.239e-09,8.64994590642097
CHEMBL607212,CN(C(=O)COc1cccc(Cl)c1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,42.0,4.2000000000000006e-08,7.376750709602099
CHEMBL2093895,CN(C)[C@]1(C)Cc2ccccc2[C@@H](c2ccccc2)C1.Cl,9.0,9.000000000000001e-09,8.045757490560675
