molecule_chembl_id,canonical_smiles,standard_value
CHEMBL538845,COc1ccc(CC(N)CCC(C)C)cc1OCCc1ccccc1.Cl,130.0
CHEMBL340275,CCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,150.0
CHEMBL1743998,Cc1ccc2c(c1)CCCC21CCN(Cc2ccccc2)CC1.Cl,5.495
CHEMBL1744015,CCCCCCN1CCC2(CCc3ccccc32)CC1.Cl,1.514
CHEMBL538290,CCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,1000.0
CHEMBL1788381,CCCCN1CCC2(CCCc3ccccc32)CC1.Cl,1.202
CHEMBL421446,CCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,13.0
CHEMBL128944,CCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,230.0
CHEMBL1743996,C=CCCN1CCC2(CCCc3ccccc32)CC1.Cl,6.607
CHEMBL1743992,Cl.O=[N+]([O-])c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,14.13
CHEMBL339638,CCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,9.0
CHEMBL128999,CCCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,170.0
CHEMBL340587,CCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,29.0
CHEMBL1744002,COc1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1.Cl,1.66
CHEMBL1743993,Cl.c1coc(CN2CCC3(CCCc4ccccc43)CC2)c1,9.55
CHEMBL1744016,COc1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1.Cl,3.467
CHEMBL62770,CC(C)=CCN1CCC2(CCCc3ccccc32)CC1,1.047
CHEMBL1744003,Cc1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1.Cl,1.413
CHEMBL1743999,Cl.c1ccc2c(c1)CCC21CCN(CC2CCCCC2)CC1,1.349
CHEMBL338858,CCCC(N)(CCC)Cc1ccc(OC)c(OCCc2ccccc2)c1.O=C(O)/C=C/C(=O)O,1000.0
CHEMBL521582,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,1.3
CHEMBL543896,CCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,110.0
CHEMBL1744000,Cl.c1ccc2c(c1)CCCC21CCN(CC2CCCCC2)CC1,2.291
CHEMBL128254,CCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,160.0
CHEMBL1744009,Cl.c1ccc(CCN2CCC3(CCCc4ccccc43)CC2)cc1,5.012
CHEMBL1744006,Cc1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1.Cl,5.888
CHEMBL1744005,Cl.c1ccc2c(c1)CCC21CCN(CC2CCCO2)CC1,3.162
CHEMBL1744012,COc1ccc2c(c1)C1(CCC2)CCN(Cc2ccccc2)CC1.Cl,74.13
CHEMBL1744007,Cl.Clc1ccc2c(c1)CCCC21CCN(Cc2ccccc2)CC1,6.761
CHEMBL555052,COc1ccc(CC(C)N)cc1OCCc1ccccc1.Cl,1000.0
